;Term;Occurrences;Stopword
sensibilités;sensibil;1;
sensibles;sensibl;2;
sent;sent;2;
sente;sent;3;
sentent;sentent;4;
sentiez;sent;1;
sentiment;sent;12;
sentir;sent;4;
séparation;sépar;1;
séparations;sépar;1;
séparent;séparent;1;
séparer;sépar;1;
separes;separ;1;
séparés;sépar;2;
séparez;sépar;1;
sept;sept;2;
septembre;septembr;4;
septième;septiem;1;
serbes;serb;1;
sereine;serein;1;
sérénité;séren;3;
sérieuse;sérieux;1;
sérieuses;sérieux;1;
serieux;serieux;3;
serrant;serr;1;
serre;serr;1;
sert;sert;2;
servant;serv;2;
servi;serv;1;
service;servic;33;
services;servic;17;
servir;serv;7;
servira;serv;1;
serviront;serv;1;
servons;servon;2;
sestompent;sestompent;1;
seuil;seuil;2;
seul;seul;13;
seule;seul;12;
seulement;seul;17;
seules;seul;6;
seuls;seul;16;
severe;sever;1;
sévère;séver;1;
sévérité;séver;1;
sévir;sev;1;
sevran;sevran;2;
sexprime;sexprim;1;
shoah;shoah;1;
si;si;109;
sida;sid;2;
siderurgie;siderurg;1;
siecle;siecl;1;
siècle;siecl;18;
siècles;siecl;5;
siège;sieg;2;
sien;sien;1;
siens;sien;1;
signal;signal;4;
signe;sign;3;
signeront;sign;1;
signes;sign;4;
signifie;signif;2;
signifient;signifient;1;
signifiera;signifi;1;
simple;simpl;4;
simplement;simpl;16;
simples;simpl;6;
simplicité;simpliqu;2;
simplifiant;simplifi;1;
simplifié;simplifi;1;
simplifiées;simplifi;1;
simplifier;simplifi;5;
simplifiera;simplifi;1;
simultanément;simultan;1;
sincère;sincer;1;
sincèrement;sincer;2;
sinceres;sincer;1;
sincères;sincer;2;
sincerite;sincerit;1;
singulier;singuli;2;
sinon;sinon;1;
site;sit;2;
situation;situat;30;
situations;situat;1;
situe;situ;1;
situer;situ;1;
six;six;6;
sixième;sixiem;1;
smic;smic;5;
sncf;sncf;1;
social;social;30;
sociale;social;45;
socialement;social;1;
sociales;social;14;
sociaux;social;17;
societe;societ;7;
société;societ;49;
sociétés;societ;3;
socle;socl;3;
sœur;sœur;2;
soeurs;soeur;1;
sohuhaitons;sohuhaiton;1;
soies;soi;1;
soif;soif;3;
soignants;soign;9;
soigne;soign;3;
soigner;soign;5;
soin;soin;3;
soins;soin;1;
soir;soir;83;
soiree;soire;3;
soirée;soir;4;
sol;sol;6;
soldats;soldat;20;
solennellement;solennel;1;
solidaire;solidair;14;
solidairement;solidair;1;
solidaires;solidair;10;
solidarité;solidar;59;
solidarités;solidar;5;
solide;solid;3;
solides;solid;2;
solidité;solid;6;
solitude;solitud;17;
solliciteront;sollicit;1;
solution;solut;4;
solutions;solut;6;
somalie;somal;1;
sombres;sombr;1;
somme;somm;3;
sommet;sommet;2;
songe;song;1;
sorciers;sorci;1;
sort;sort;6;
sorte;sort;9;
sortes;sort;4;
sortie;sort;4;
sortions;sortion;1;
sortir;sort;13;
sortira;sort;3;
sortirons;sort;2;
sortis;sort;1;
sortons;sorton;2;
soubresaut;soubresaut;1;
souci;souc;5;
soucieuse;soucieux;1;
soucis;souc;4;
soudaine;soudain;1;
souffert;souffert;6;
souffle;souffl;2;
souffrance;souffranc;7;
souffrances;souffranc;10;
souffre;souffr;1;
souffrent;souffrent;16;
souhait;souh;4;
souhaitable;souhait;1;
souhaitant;souhait;1;
souhaite;souhait;66;
souhaité;souhait;2;
souhaiter;souhait;3;
souhaiterons;souhait;1;
souhaitez;souhait;3;
souhaitons;souhaiton;2;
souhaits;souhait;1;
soulevaient;soulev;1;
soulevait;soulev;1;
soulever;soulev;1;
souligné;soulign;1;
souligner;soulign;1;
soumettrai;soumettr;1;
soumettre;soumettr;1;
soumis;soum;1;
soumise;soumis;1;
soumission;soumiss;1;
souples;soupl;1;
souplesse;soupless;1;
source;sourc;4;
sourire;sourir;3;
sous;sous;16;
souscrire;souscrir;1;
souscrit;souscr;2;
soustraire;soustrair;1;
soutenant;souten;2;
soutenir;souten;6;
soutenu;soutenu;1;
soutenue;soutenu;1;
soutien;soutien;11;
soutiens;soutien;1;
soutient;soutient;3;
souvenir;souven;2;
souvenirs;souvenir;3;
souvent;souvent;16;
souverain;souverain;5;
souveraine;souverain;2;
souverainement;souverain;1;
souveraines;souverain;2;
souveraineté;souverainet;8;
souviennent;souviennent;1;
souviens;souvien;2;
sovietique;soviet;1;
soviétique;soviet;4;
spécialement;spécial;2;
spéciaux;spécial;1;
spécificité;spécif;1;
spéculateur;spécul;1;
spéculation;spécul;2;
sphère;spher;1;
spirituelles;spirituel;1;
splendeur;splendeur;1;
spontané;spontan;1;
sport;sport;4;
sportifs;sportif;2;
sportives;sportiv;1;
stabilisé;stabilis;1;
stabilisées;stabilis;1;
stabilité;stabl;9;
stables;stabl;1;
stagnation;stagnat;1;
staline;stalin;2;
statistique;statist;1;
statu;statu;1;
statut;statut;3;
stigmatisant;stigmatis;1;
stigmatisations;stigmatis;1;
strasbourg;strasbourg;6;
stratégie;strateg;5;
stratégique;strateg;1;
stratégiques;strateg;1;
structurelles;structurel;1;
structures;structur;5;
stupéfiante;stupéfi;1;
su;su;15;
subi;sub;2;
subir;sub;7;
subira;sub;1;
subirions;sub;1;
subissent;sub;2;
subissons;sub;2;
subit;sub;1;
substituent;substituent;1;
succédé;succed;1;
succes;succ;4;
succès;succes;11;
successeur;successeur;1;
successifs;success;1;
succession;success;1;
successives;success;1;
sud;sud;7;
suffiront;suff;1;
suffisamment;suffis;2;
suffisant;suffis;1;
suffisante;suffis;2;
suite;suit;3;
suivant;suiv;1;
suivantes;suiv;1;
suivi;suiv;5;
suivre;suivr;1;
sujet;sujet;8;
sujets;sujet;8;
super;sup;1;
supérieur;supérieur;5;
supérieure;supérieur;3;
supérieurs;supérieur;1;
superpuissances;superpuiss;2;
supplémentaire;supplémentair;1;
supplémentaires;supplémentair;3;
supporté;support;1;
supporter;support;3;
suppose;suppos;6;
suppression;suppress;1;
supprimée;supprim;1;
sûr;sûr;19;
surarmement;surarm;1;
surarmer;surarm;1;
sûre;sûr;4;
sûrement;sûr;1;
sûreté;sûret;2;
surexploitation;surexploit;1;
surgi;surg;1;
surmontant;surmont;1;
surmonté;surmont;2;
surmonter;surmont;8;
surmonterons;surmont;1;
surprendre;surprendr;1;
surpris;surpr;2;
sûrs;sûr;3;
sursaut;sursaut;4;
surtout;surtout;21;
surviennent;surviennent;1;
survient;survient;1;
suscite;suscit;1;
suscitent;suscitent;3;
susciter;suscit;2;
suspens;suspen;2;
symbole;symbol;2;
symbolisé;symbolis;1;
sympathie;sympath;2;
synagogue;synagogu;1;
syndicales;syndical;2;
syndicat;syndicat;1;
syndicats;syndicat;4;
syndicaux;syndical;1;
syrie;syr;7;
systematiquement;systemat;1;
système;system;20;
systèmes;system;1;
tableau;tableau;2;
tablette;tablet;2;
tâche;tâch;9;
taches;tach;1;
tâches;tâch;1;
talent;talent;6;
talents;talent;4;
tandis;tand;7;
tanerii;tanerii;2;
tant;tant;39;
tard;tard;5;
tarder;tard;1;
tarderont;tard;1;
tâtonnements;tâton;1;
taux;taux;1;
taxation;taxat;1;
taxe;tax;5;
taxer;tax;1;
taxés;tax;1;
technique;techniqu;1;
techniques;techniqu;3;
technologies;technolog;7;
technologique;technolog;2;
technologiques;technolog;2;
tel;tel;5;
telecommunications;telecommun;1;
téléphone;téléphon;1;
téléphonie;téléphon;1;
telephoniques;telephon;1;
telle;tel;9;
telles;tel;2;
tels;tel;6;
témoignage;témoignag;1;
témoigne;témoign;1;
témoignée;témoign;1;
temoigner;temoign;1;
témoigner;témoign;2;
temperament;temp;2;
tempête;tempêt;3;
tempêtes;tempêt;1;
temple;templ;1;
temps;temp;64;
ténacité;ténac;1;
tenant;ten;1;
tendance;tendanc;2;
tendances;tendanc;1;
tende;tend;2;
tendre;tendr;2;
tendue;tendu;2;
tendues;tendu;1;
tendus;tendus;1;
tenir;ten;15;
tensions;tension;5;
tentation;tentat;1;
tentations;tentat;1;
tentée;tent;1;
tenu;tenu;14;
tenue;tenu;3;
terme;term;9;
terminé;termin;2;
terminée;termin;1;
terminées;termin;1;
terminer;termin;1;
terrain;terrain;4;
terre;terr;10;
terres;terr;1;
terrible;terribl;2;
terribles;terribl;4;
territoire;territoir;4;
territoires;territoir;10;
territoriale;territorial;4;
territoriales;territorial;1;
terrorisme;terror;15;
terroriste;terror;5;
terroristes;terror;2;
tête;têt;3;
têtes;têt;1;
texte;text;1;
textes;text;1;
tgv;tgv;3;
thalys;thaly;1;
théâtres;théâtr;1;
thérapie;thérap;1;
thermiques;thermiqu;1;
thessalonique;thessalon;1;
tiendra;tiendr;2;
tienne;tien;4;
tiennent;tiennent;2;
tiens;tien;9;
tient;tient;6;
tiers;tier;6;
tir;tir;1;
tirant;tir;1;
tire;tir;5;
tirent;tirent;2;
tirer;tir;7;
tireront;tir;1;
tissent;tissent;1;
tissu;tissu;1;
titre;titr;2;
toit;toit;3;
tolerance;toler;1;
tolérance;toler;10;
tolérants;toler;1;
tolérées;toler;1;
tom;tom;2;
tombaient;tomb;1;
tombé;tomb;1;
tombent;tombent;1;
tomberont;tomb;1;
tombés;tomb;2;
tombez;tomb;1;
tonnes;ton;1;
torture;tortur;1;
tôt;tôt;4;
total;total;4;
totalement;total;2;
totalitaires;totalitair;1;
totalitarisme;totalitar;1;
totalité;total;1;
touche;touch;1;
touché;touch;2;
touchees;touche;1;
touchent;touchent;2;
touches;touch;1;
touchés;touch;3;
touchons;touchon;1;
toujours;toujour;45;
toulouse;toulous;1;
tour;tour;2;
tourbillon;tourbillon;1;
tourisme;tourism;3;
tourmente;tourment;5;
tournant;tourn;1;
tourne;tourn;1;
tournée;tourn;4;
tous;tous;211;
toute;tout;38;
trace;trac;4;
tradition;tradit;6;
traditionnelles;traditionnel;1;
traduire;traduir;1;
traduisent;traduisent;1;
traduit;traduit;3;
trafics;trafic;1;
tragédie;traged;2;
tragédies;traged;3;
tragique;tragiqu;3;
trahir;trah;1;
trahirai;trah;1;
train;train;8;
trait;trait;1;
traite;trait;1;
traité;trait;7;
traitement;trait;1;
traitements;trait;1;
traiter;trait;2;
traitons;traiton;1;
tranche;tranch;1;
trancher;tranch;1;
tranquilité;tranquil;1;
tranquillité;tranquill;3;
transactions;transact;2;
transformation;transform;6;
transformations;transform;4;
transforme;transform;1;
transformee;transforme;2;
transforment;transforment;2;
transformer;transform;6;
transformés;transform;1;
transigerai;transig;1;
transition;transit;10;
transmission;transmiss;1;
transparence;transparent;2;
transport;transport;1;
transports;transport;6;
travail;travail;83;
travaillant;travaill;3;
travaille;travaill;6;
travaillé;travaill;2;
travaillent;travaillent;3;
travailler;travaill;21;
travailleur;travailleur;1;
travailleurs;travailleur;15;
travaillons;travaillon;2;
travaux;traval;5;
travers;traver;8;
traversait;travers;1;
traverse;travers;3;
traversé;travers;5;
traversée;travers;1;
traversent;traversent;3;
traverser;travers;2;
traversons;traverson;4;
trèbes;treb;1;
tremblement;trembl;1;
trente;trent;2;
tres;tre;4;
très;tres;21;
tribunaux;tribunal;1;
tribus;tribus;2;
trimestre;trimestr;1;
tristesse;tristess;2;
trois;trois;15;
troisième;troisiem;14;
troisièmes;troisiem;1;
trompent;trompent;1;
tromperai;tromp;1;
trompez;tromp;1;
trop;trop;46;
troubles;troubl;1;
troupe;troup;1;
trouve;trouv;3;
trouvé;trouv;1;
trouvent;trouvent;3;
trouver;trouv;8;
trouvera;trouv;1;
trouvés;trouv;1;
tue;tu;1;
tués;tu;2;
tunis;tun;1;
tunnel;tunnel;1;
turbulences;turbulent;2;
turbulente;turbulent;1;
type;typ;1;
tyrannie;tyrann;3;
ukraine;ukrain;2;
ultra;ultra;1;
ultralibéral;ultralibéral;1;
uni;uni;9;
unie;uni;13;
unies;uni;6;
union;union;24;
unique;uniqu;3;
unir;unir;5;
unis;unis;24;
unissent;unissent;1;
unit;unit;7;
unite;unit;15;
unité;unit;24;
univers;univer;1;
universalité;universal;1;
universel;universel;2;
universelle;universel;7;
universels;universel;1;
université;univers;2;
universités;univers;6;
uns;un;10;
ur;ur;3;
urgence;urgenc;18;
urgent;urgent;2;
urss;urss;2;
usage;usag;1;
usines;usin;4;
utile;util;12;
utilisation;utilis;4;
utilisent;utilisent;1;
utiliser;utilis;1;
utilité;util;1;
uvre;uvre;4;
ux;ux;5;
va;va;30;
vacances;vacanc;1;
vaccin;vaccin;4;
vaccination;vaccin;4;
vacciné;vaccin;1;
vacciner;vaccin;6;
vaccinés;vaccin;2;
vache;vach;1;
vague;vagu;3;
vaillance;vaillanc;1;
vain;vain;1;
vaincre;vaincr;1;
vaines;vain;2;
vais;vais;5;
valent;valent;5;
valeur;valeur;3;
valeurs;valeur;42;
valls;vall;2;
valoir;valoir;1;
valorise;valoris;1;
valorisé;valoris;1;
valoriser;valoris;1;
vandenbeusch;vandenbeusch;1;
variant;vari;1;
varient;varient;1;
varsovie;varsov;3;
vaste;vast;3;
vaut;vaut;4;
vécu;vécu;5;
vécues;vécu;1;
vécus;vécus;1;
véhicules;véhicul;1;
veille;veil;4;
veillée;veil;1;
veillent;veillent;1;
veiller;veil;5;
veillera;veil;1;
veillerai;veil;7;
veillerons;veil;1;
venait;ven;2;
vend;vend;1;
vendre;vendr;1;
venir;ven;16;
venons;venon;5;
vente;vent;2;
vents;vent;1;
venu;venu;8;
venue;venu;1;
venues;venu;1;
venus;venus;1;
véritable;vérit;7;
vérité;vérit;14;
verra;verr;1;
verrait;verr;1;
verrez;verr;3;
verront;verront;2;
vers;ver;27;
versailles;versaill;1;
versé;vers;1;
versement;vers;1;
verte;vert;2;
vertu;vertu;1;
vertus;vertus;2;
veuille;veuill;1;
veulent;veulent;6;
veut;veut;16;
veuve;veuv;1;
veux;veux;81;
victimes;victim;21;
victoire;victoir;2;
victoires;victoir;2;
victorieuse;victori;1;
vie;vi;104;
vieilles;vieil;2;
vieillesse;vieilless;1;
vienne;vien;2;
viennent;viennent;8;
viens;vien;2;
vient;vient;19;
vies;vi;16;
vieux;vieux;5;
vigilante;vigil;1;
vigilantes;vigil;1;
vigilants;vigil;1;
vigoureuse;vigour;1;
vigoureusement;vigour;2;
vigoureux;vigour;1;
vigueur;vigueur;1;
villages;villag;2;
ville;vill;6;
villejuif;villeju;1;
villes;vill;6;
vingt;vingt;7;
viol;viol;1;
violations;violat;1;
violence;violenc;13;
violences;violenc;5;
violent;violent;1;
virus;virus;11;
vis;vis;6;
visage;visag;2;
visages;visag;4;
visant;vis;2;
vise;vis;1;
visibles;visibl;1;
vision;vision;3;
visite;visit;1;
vit;vit;9;
vitales;vital;1;
vitalité;vital;8;
vite;vit;12;
vitesse;vitess;3;
vivaces;vivac;1;
vivant;viv;3;
vivante;viv;5;
vivantes;viv;1;
vive;viv;82;
vivement;viv;1;
vivent;vivent;14;
vives;viv;3;
viviez;viv;1;
vivions;vivion;1;
vivons;vivon;17;
vivre;vivr;52;
vocation;vocat;6;
voe;vo;1;
voeu;voeu;19;
vœu;vœu;1;
voeux;voeux;86;
voici;voic;5;
voie;voi;15;
voient;voient;3;
voies;voi;4;
voilà;voilà;18;
voir;voir;8;
vois;vois;8;
voisin;voisin;6;
voisins;voisin;4;
voit;voit;6;
voix;voix;8;
volontaire;volontair;3;
volonté;volont;26;
volontés;volont;1;
vont;vont;18;
vote;vot;2;
voté;vot;2;
votée;vot;3;
voter;vot;1;
vôtre;vôtr;1;
vôtres;vôtr;3;
voudra;voudr;2;
voudraient;voudr;1;
voudrais;voudr;18;
voudrait;voudr;1;
voudrez;voudr;1;
voudrons;voudron;1;
voudront;voudront;1;
voulaient;voul;3;
voulait;voul;1;
voulez;voul;7;
voulions;voulion;1;
voulons;voulon;18;
voulu;voulu;16;
voyez;voi;5;
voyons;voyon;2;
vraies;vraie;1;
vraiment;vraiment;4;
vrais;vrais;3;
vu;vu;19;
vue;vu;4;
vulnérabilités;vulner;2;
vulnérable;vulner;1;
vulnérables;vulner;5;
vus;vus;1;
vux;vux;1;
washington;washington;1;
wendie;wend;2;
xxie;xxi;2;
xxième;xxiem;3;
yalta;yalt;1;
yeux;yeux;12;
yougoslavie;yougoslav;4;
zone;zon;4;
